,School Name,City,State,Admission Rate,In-State Tuition,Student to Faculty Ratio,Student Population Size,On-Campus Housing Cost,Off-Campus Housing Cost,Degree of Urbanization,"Median Earnings, 7 Years after Entering College",Average SAT Score
0,Alabama A & M University,Normal,AL,0.684,10024,19,5196,9520,9520,"City, Population Size between 100,000 and 250,000",28974,920
1,University of Alabama at Birmingham,Birmingham,AL,0.8668,8832,18,12776,13120,14330,"City, Population Size between 100,000 and 250,000",42911,1291
3,University of Alabama in Huntsville,Huntsville,AL,0.781,11878,17,6985,11122,11122,"City, Population Size between 100,000 and 250,000",52360,1259
4,Alabama State University,Montgomery,AL,0.966,11068,14,3296,6050,7320,"City, Population Size between 100,000 and 250,000",26395,963
5,The University of Alabama,Tuscaloosa,AL,0.8006,11940,19,31360,14426,14426,"City, Population Size between 100,000 and 250,000",48273,1304
8,Auburn University at Montgomery,Montgomery,AL,0.9223,9100,15,3307,7368,10485,"City, Population Size between 100,000 and 250,000",37969,1051
9,Auburn University,Auburn,AL,0.4374,12176,20,25234,14998,14998,"City, Population < 100,000",52489,1292
10,Birmingham-Southern College,Birmingham,AL,0.5717,21250,10,968,14000,8000,"City, Population Size between 100,000 and 250,000",45292,1218
15,Faulkner University,Montgomery,AL,0.8241,23920,13,1587,8020,8020,"City, Population Size between 100,000 and 250,000",36092,1021
22,Huntingdon College,Montgomery,AL,0.6595,28350,14,810,10772,8772,"City, Population Size between 100,000 and 250,000",39452,1086
26,Jacksonville State University,Jacksonville,AL,0.7846,11952,19,7066,8640,9972,"Suburb, Population < 100,000",37373,1055
30,University of West Alabama,Livingston,AL,0.6886,10990,18,2424,7820,7200,"Remote Rural, More than 25 miles from an urban area and more than 10 miles from an Urban Cluster",34703,1015
34,University of Mobile,Mobile,AL,0.8408,25880,14,1108,10676,9000,"Fringe Rural, <= 5 miles from an urban area and <= 2.5 miles from an Urban Cluster",36729,1220
42,Samford University,Birmingham,AL,0.8326,36725,14,3668,11264,13950,"Suburb, Population >= 250,000",46461,1227
46,University of South Alabama,Mobile,AL,0.6536,9116,16,8171,8510,10010,"City, Population Size between 100,000 and 250,000",38334,1118
47,Spring Hill College,Mobile,AL,0.7263,21732,12,932,11784,14638,"City, Population Size between 100,000 and 250,000",43120,1094
51,Troy University,Troy,AL,0.9484,9312,16,10316,7599,10342,"Rural Town, Urban Cluster 35 miles away from an urban area",36498,1050
52,Tuskegee University,Tuskegee,AL,0.2969,22614,7,2100,9844,10055,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",38791,1091
72,University of Arizona,Tucson,AZ,0.8676,13275,17,37979,13650,11100,"City, Population Size >= 250,000",47045,1229
79,Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,0.68,40464,18,3114,13160,13160,"City, Population < 100,000",65864,1278
103,University of Arkansas at Little Rock,Little Rock,AR,0.6146,8366,11,4802,9162,11324,"City, Population Size between 100,000 and 250,000",37046,1089
111,University of Arkansas,Fayetteville,AR,0.7893,9656,20,26002,12368,12368,"City, Population < 100,000",46655,1167
112,University of Arkansas at Pine Bluff,Pine Bluff,AR,0.6933,8668,13,2155,8866,4996,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",28228,878
114,Arkansas State University,Jonesboro,AR,0.6951,7456,15,7463,10100,9657,"City, Population < 100,000",35019,1119
115,Arkansas Tech University,Russellville,AR,0.9439,8071,18,6108,9157,14355,"Rural Town, Urban Cluster 35 miles away from an urban area",34118,1090
120,University of Central Arkansas,Conway,AR,0.9121,9778,14,7563,8250,8143,"City, Population < 100,000",35983,1118
121,Central Baptist College,Conway,AR,0.6394,17700,10,489,7500,5852,"City, Population < 100,000",36685,1011
128,Harding University,Searcy,AR,0.4512,23148,15,3198,7984,7984,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",43030,1182
129,Henderson State University,Arkadelphia,AR,0.7066,7560,16,1800,9558,8512,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",34313,1019
130,Hendrix College,Conway,AR,0.6028,35100,11,1127,13600,10400,"City, Population < 100,000",38684,1246
133,John Brown University,Siloam Springs,AR,0.5664,29720,15,1354,9920,2500,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",43323,1218
141,Ouachita Baptist University,Arkadelphia,AR,0.7232,31180,12,1587,8800,9650,"Distant Town, Urban Cluster is that is between 10 and 35 miles from an urban area",40001,1180
